,count,mean,std,min,25%,50%,75%,max
"('pt-BR',)",11226.0,1.8858008195261,2.006839011892945,0.0,0.0,2.0,3.0,12.0
"('pt-PT',)",11226.0,1.9308747550329592,2.051374872976497,0.0,0.0,2.0,3.0,12.0
"('da-DA',)",11220.0,2.029946524064171,2.0760979130580988,0.0,0.0,2.0,3.0,12.0
"('de-DE',)",11226.0,2.1114377338321755,2.1200830213389743,0.0,0.0,2.0,3.0,12.0
"('sv-SV',)",11226.0,2.1273828612150365,2.1278059950679227,0.0,0.0,2.0,3.0,13.0
"('el-EL',)",11226.0,2.137092463923036,2.1306547128504314,0.0,0.0,2.0,3.0,12.0
"('nl-NL',)",11226.0,2.147514698022448,2.1455649737485984,0.0,0.0,2.0,3.0,13.0
"('ro-RO',)",11226.0,2.27659005879209,2.199538073948341,0.0,0.0,2.0,4.0,13.0
"('it-IT',)",11226.0,2.3146267593087475,2.1928967791124045,0.0,0.0,2.0,4.0,13.0
"('ru-RU',)",11220.0,2.5304812834224597,2.259298075118391,0.0,0.0,2.0,4.0,13.0
"('es-ES',)",11226.0,2.547479066452877,2.321952823339795,0.0,0.0,2.0,4.0,12.0
"('bg-BG',)",11220.0,2.5833333333333335,2.298770648744328,0.0,0.0,2.0,4.0,14.0
"('cs-CS',)",11220.0,2.6315508021390372,2.3349679102327743,0.0,0.0,2.0,4.0,14.0
"('sk-SK',)",11226.0,2.6398539105647605,2.3354521385271103,0.0,0.0,2.0,4.0,15.0
"('pl-PL',)",11226.0,2.6465348298592555,2.3409104924408655,0.0,0.0,2.0,4.0,16.0
"('fi-FI',)",11226.0,2.8068768929271335,2.4119470478415623,0.0,1.0,2.0,4.0,14.0
"('et-ET',)",11220.0,2.866577540106952,2.443683664980289,0.0,1.0,2.0,4.0,15.0
"('lv-LV',)",11226.0,2.8790308213076785,2.3792294209357783,0.0,1.0,2.0,4.0,15.0
"('hu-HU',)",11226.0,2.931854623196152,2.4592332045326097,0.0,1.0,3.0,4.0,13.0
"('zh-ZH',)",11226.0,3.036700516657759,2.4278062427897553,0.0,1.0,3.0,4.0,15.0
"('sl-SL',)",11226.0,3.0958489221450205,2.4731406425518143,0.0,1.0,3.0,5.0,14.0
"('fi-FI', 'sv-SV')",11226.0,3.1618564047746305,2.5369765586268684,0.0,1.0,3.0,5.0,16.0
"('fi-FI', 'ro-RO')",11226.0,3.2145020488152505,2.525407269480337,0.0,1.0,3.0,5.0,15.0
"('lv-LV', 'sv-SV')",11226.0,3.2164617851416355,2.5028802626366864,0.0,1.0,3.0,5.0,16.0
"('fi-FI', 'pt-BR')",11226.0,3.2253696775342955,2.544601074721407,0.0,1.0,3.0,5.0,14.0
"('fi-FI', 'pt-PT')",11226.0,3.2324069125244965,2.5597997270844477,0.0,1.0,3.0,5.0,14.0
"('et-ET', 'ro-RO')",11220.0,3.2333333333333334,2.5325958334335255,0.0,1.0,3.0,5.0,15.0
"('et-ET', 'sv-SV')",11220.0,3.2344919786096256,2.5529782213640355,0.0,1.0,3.0,5.0,16.0
"('lv-LV', 'pt-BR')",11226.0,3.250311776233743,2.483775843702974,0.0,1.0,3.0,5.0,15.0
"('lv-LV', 'el-EL')",11226.0,3.257438090147871,2.498320218196198,0.0,1.0,3.0,5.0,14.0
"('hu-HU', 'el-EL')",11226.0,3.260823089257082,2.558262042204431,0.0,1.0,3.0,5.0,14.0
"('et-ET', 'pt-BR')",11220.0,3.2622994652406416,2.5477532606993396,0.0,1.0,3.0,5.0,16.0
"('et-ET', 'pt-PT')",11220.0,3.2628342245989304,2.543601454294717,0.0,1.0,3.0,5.0,16.0
"('hu-HU', 'ro-RO')",11226.0,3.2713344022804205,2.551029582282344,0.0,1.0,3.0,5.0,15.0
"('hu-HU', 'da-DA')",11226.0,3.273472296454659,2.5519186205420845,0.0,1.0,3.0,5.0,14.0
"('lv-LV', 'de-DE')",11226.0,3.2884375556743275,2.5086405549278368,0.0,1.0,3.0,5.0,16.0
"('lv-LV', 'pt-PT')",11226.0,3.29413860680563,2.515426866860501,0.0,1.0,3.0,5.0,14.0
"('sl-SL', 'cs-CS')",11226.0,3.303670051665776,2.54355009948407,0.0,1.0,3.0,5.0,15.0
"('lv-LV', 'ro-RO')",11226.0,3.309371102797078,2.4989361506602523,0.0,2.0,3.0,5.0,14.0
"('hu-HU', 'pt-PT')",11226.0,3.31168715481917,2.5618827751676045,0.0,1.0,3.0,5.0,14.0
"('fi-FI', 'nl-NL')",2922.0,3.312457221081451,2.5733822063295793,0.0,1.0,3.0,5.0,15.0
"('hu-HU', 'sv-SV')",11226.0,3.313023338678069,2.574952781159561,0.0,1.0,3.0,5.0,15.0
"('lv-LV', 'sk-SK')",11226.0,3.313468733297702,2.530137341933156,0.0,1.0,3.0,5.0,15.0
"('hu-HU', 'pt-BR')",11226.0,3.3159629431676465,2.5650083150307292,0.0,1.0,3.0,5.0,14.0
"('sl-SL', 'sk-SK')",11226.0,3.3165864956351325,2.54591426198041,0.0,1.0,3.0,5.0,15.0
"('sl-SL', 'da-DA')",11226.0,3.3197933368964905,2.5335159495092903,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'de-DE')",11226.0,3.3228220203099945,2.5647966789419194,0.0,1.0,3.0,5.0,14.0
"('lv-LV', 'ru-RU')",11226.0,3.3245145198646,2.498583894771214,0.0,2.0,3.0,5.0,15.0
"('lv-LV', 'nl-NL')",11226.0,3.3297701763762695,2.514690748312515,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'sv-SV')",11226.0,3.351861749510066,2.550726279199191,0.0,2.0,3.0,5.0,14.0
"('et-ET', 'nl-NL')",11220.0,3.3549910873440285,2.562892314494966,0.0,1.0,3.0,5.0,16.0
"('sl-SL', 'el-EL')",11226.0,3.382326741492963,2.549659195978127,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'ro-RO')",11226.0,3.3841083199714945,2.562079558412116,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'nl-NL')",11226.0,3.400320684126136,2.5842241769019147,0.0,2.0,3.0,5.0,15.0
"('hu-HU', 'it-IT')",11226.0,3.4010333155175485,2.5865257848995267,0.0,2.0,3.0,5.0,15.0
"('sl-SL', 'pt-BR')",11226.0,3.4061998931052915,2.557659852033277,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'de-DE')",11226.0,3.413326207019419,2.556552634288379,0.0,2.0,3.0,5.0,16.0
"('fi-FI', 'sk-SK')",11226.0,3.4339034384464635,2.5898457934732813,0.0,2.0,3.0,5.0,14.0
"('sl-SL', 'pt-PT')",11226.0,3.435150543381436,2.578950073751448,0.0,2.0,3.0,5.0,14.0
